Epoch: 1, Train Loss: 2.7013524635550903, Val Loss: 2.172196025996245, Took 0:03:25.640719, ETA: 0:30:50.766471

Epoch: 2, Train Loss: 2.0240172291129723, Val Loss: 1.9068550287291062, Took 0:03:26.558463, ETA: 0:27:32.467704

Epoch: 3, Train Loss: 1.8033734613267827, Val Loss: 1.7602151087088178, Took 0:03:32.148950, ETA: 0:24:45.042650

Epoch: 4, Train Loss: 1.6732692652961232, Val Loss: 1.6498020379118217, Took 0:03:41.017103, ETA: 0:22:06.102618

Epoch: 5, Train Loss: 1.5864174964092033, Val Loss: 1.6207404321478318, Took 0:03:42.863324, ETA: 0:18:34.316620

Epoch: 6, Train Loss: 1.5206308266551225, Val Loss: 1.5929040243459303, Took 0:03:43.803856, ETA: 0:14:55.215424

Epoch: 7, Train Loss: 1.473289883013853, Val Loss: 1.549398377884266, Took 0:03:31.266399, ETA: 0:10:33.799197

Epoch: 8, Train Loss: 1.434074795123228, Val Loss: 1.5329045731891957, Took 0:03:23.775245, ETA: 0:06:47.550490

Epoch: 9, Train Loss: 1.4027745617214347, Val Loss: 1.501554622206577, Took 0:03:25.148456, ETA: 0:03:25.148456

Epoch: 10, Train Loss: 1.3602702871630692, Val Loss: 1.4805496570675871, Took 0:03:30.293676, ETA: 0:00:00

