Epoch: 1, Train Loss: 2.086874001624248, Val Loss: 1.6686738479969114, Took 0:04:22.755070, ETA: 1:01:18.570980

Epoch: 2, Train Loss: 1.5426844436278457, Val Loss: 1.523207198741824, Took 0:04:24.358833, ETA: 0:57:16.664829

Epoch: 3, Train Loss: 1.3905867219380907, Val Loss: 1.458732664123062, Took 0:04:24.785083, ETA: 0:52:57.420996

Epoch: 4, Train Loss: 1.2887733695433312, Val Loss: 1.4128087953079578, Took 0:04:26.625807, ETA: 0:48:52.883877

Epoch: 5, Train Loss: 1.2053234192104274, Val Loss: 1.4075891065967174, Took 0:04:29.525742, ETA: 0:44:55.257420

Epoch: 6, Train Loss: 1.1281416326044351, Val Loss: 1.3938990156779918, Took 0:04:24.917496, ETA: 0:39:44.257464

Epoch: 7, Train Loss: 1.058880153800204, Val Loss: 1.3923318552416424, Took 0:04:27.395378, ETA: 0:35:39.163024

Epoch: 8, Train Loss: 0.9960286248590529, Val Loss: 1.384319216706032, Took 0:04:23.238003, ETA: 0:30:42.666021

Epoch: 9, Train Loss: 0.9242633413203394, Val Loss: 1.3798605748849322, Took 0:04:27.745799, ETA: 0:26:46.474794

Epoch: 10, Train Loss: 0.8612678239435675, Val Loss: 1.4139002127240794, Took 0:04:24.156378, ETA: 0:22:00.781890

Epoch: 11, Train Loss: 0.7998129723407968, Val Loss: 1.4231085962103318, Took 0:04:22.337262, ETA: 0:17:29.349048

Epoch: 12, Train Loss: 0.743068891702239, Val Loss: 1.4455309727395227, Took 0:04:23.896227, ETA: 0:13:11.688681

Epoch: 13, Train Loss: 0.6861171132510471, Val Loss: 1.461211921632752, Took 0:04:23.397797, ETA: 0:08:46.795594

Epoch: 14, Train Loss: 0.6335615964279961, Val Loss: 1.4979518919952155, Took 0:04:26.293269, ETA: 0:04:26.293269

Epoch: 15, Train Loss: 0.5818671786908022, Val Loss: 1.490920665652253, Took 0:04:28.034532, ETA: 0:00:00

