Epoch: 1, Train Loss: 2.6862843307023194, Val Loss: 2.172695426053779, Took 0:03:36.371310, ETA: 0:50:29.198340

Epoch: 2, Train Loss: 2.016246677673969, Val Loss: 1.9320579351380813, Took 0:03:27.822542, ETA: 0:45:01.693046

Epoch: 3, Train Loss: 1.8044909709917312, Val Loss: 1.7653414704078851, Took 0:03:32.880723, ETA: 0:42:34.568676

Epoch: 4, Train Loss: 1.6798367320057452, Val Loss: 1.6952078176099201, Took 0:03:30.433638, ETA: 0:38:34.770018

Epoch: 5, Train Loss: 1.5920541245503115, Val Loss: 1.6013015628785126, Took 0:03:26.928954, ETA: 0:34:29.289540

Epoch: 6, Train Loss: 1.5253911493570125, Val Loss: 1.5784466174221778, Took 0:03:29.355895, ETA: 0:31:24.203055

Epoch: 7, Train Loss: 1.4744144190627684, Val Loss: 1.5462344857149346, Took 0:03:22.649561, ETA: 0:27:01.196488

Epoch: 8, Train Loss: 1.4288797804580111, Val Loss: 1.5205392763596173, Took 0:03:29.347532, ETA: 0:24:25.432724

Epoch: 9, Train Loss: 1.3986734606556057, Val Loss: 1.5095340226047722, Took 0:03:30.639632, ETA: 0:21:03.837792

Epoch: 10, Train Loss: 1.3645547034404533, Val Loss: 1.500218117883963, Took 0:03:40.184044, ETA: 0:18:20.920220

Epoch: 11, Train Loss: 1.3320026201071198, Val Loss: 1.4695444033127423, Took 0:03:38.630495, ETA: 0:14:34.521980

Epoch: 12, Train Loss: 1.3131059469635953, Val Loss: 1.4659763306610345, Took 0:03:32.271761, ETA: 0:10:36.815283

Epoch: 13, Train Loss: 1.2862127245086985, Val Loss: 1.4645991362342539, Took 0:03:28.442172, ETA: 0:06:56.884344

Epoch: 14, Train Loss: 1.2651834913955111, Val Loss: 1.4659868580426356, Took 0:03:27.196108, ETA: 0:03:27.196108

Epoch: 15, Train Loss: 1.2428522798203931, Val Loss: 1.4565339790758236, Took 0:03:26.173531, ETA: 0:00:00

Epoch: 16, Train Loss: 1.2218043795975624, Val Loss: 1.455692734829215, Took 0:03:25.145435, ETA: 0:13:40.581740

Epoch: 17, Train Loss: 1.2035188969877577, Val Loss: 1.429113461989765, Took 0:03:25.951450, ETA: 0:10:17.854350

Epoch: 18, Train Loss: 1.1856129439835696, Val Loss: 1.4468054956243943, Took 0:03:26.367211, ETA: 0:06:52.734422

Epoch: 19, Train Loss: 1.1658531791975408, Val Loss: 1.4379362357679264, Took 0:03:28.780470, ETA: 0:03:28.780470

Epoch: 20, Train Loss: 1.144951679452588, Val Loss: 1.4328681886658188, Took 0:03:28.274946, ETA: 0:00:00

